mean,sd,N,n_qc,1-3s,1-3s/2-2s/R-4s,1-3s/2-2s/R-4s/4-1s,1-3s/2-2s/R-4s/4-1s/10-x
0,6.000000000000004,6,10000,0.9964,0.9985,0.9989,0.9989
0,6.100000000000005,1,10000,0.6216,0.6912,0.6981,0.6982
0,6.100000000000005,2,10000,0.8555,0.8918,0.8996,0.9001
0,6.100000000000005,3,10000,0.9481,0.9667,0.9718,0.972
0,6.100000000000005,4,10000,0.9801,0.9896,0.9906,0.9906
0,6.100000000000005,6,10000,0.9974,0.9994,0.9994,0.9994
0,6.200000000000005,1,10000,0.6242,0.6963,0.7038,0.7042
0,6.200000000000005,2,10000,0.8639,0.9001,0.9064,0.9066
0,6.200000000000005,3,10000,0.9522,0.9707,0.974,0.974
0,6.200000000000005,4,10000,0.9825,0.9912,0.9917,0.9917
0,6.200000000000005,6,10000,0.9976,0.9992,0.9993,0.9993
0,6.300000000000004,1,10000,0.6328,0.7002,0.7076,0.7081
0,6.300000000000004,2,10000,0.8681,0.9004,0.9068,0.9073
0,6.300000000000004,3,10000,0.9514,0.9696,0.9736,0.9737
0,6.300000000000004,4,10000,0.9808,0.991,0.9913,0.9913
0,6.300000000000004,6,10000,0.9978,0.9991,0.9992,0.9992
0,6.400000000000005,1,10000,0.6385,0.7007,0.7077,0.7078
0,6.400000000000005,2,10000,0.8669,0.9036,0.9089,0.9091
0,6.400000000000005,3,10000,0.9526,0.971,0.9744,0.9744
0,6.400000000000005,4,10000,0.9834,0.9915,0.9918,0.9918
0,6.400000000000005,6,10000,0.997,0.9988,0.9988,0.9988
0,6.500000000000005,1,10000,0.6393,0.7052,0.7113,0.7117
0,6.500000000000005,2,10000,0.8742,0.9063,0.9137,0.9138
0,6.500000000000005,3,10000,0.9582,0.974,0.9782,0.9782
0,6.500000000000005,4,10000,0.9851,0.9931,0.9937,0.9937
0,6.500000000000005,6,10000,0.9991,0.9997,0.9998,0.9998
0,6.600000000000005,1,10000,0.6578,0.7239,0.7302,0.7309
0,6.600000000000005,2,10000,0.8821,0.911,0.9173,0.9179
0,6.600000000000005,3,10000,0.9591,0.9756,0.9789,0.9791
0,6.600000000000005,4,10000,0.9846,0.9926,0.9933,0.9935
0,6.600000000000005,6,10000,0.9976,0.9994,0.9995,0.9995
0,6.700000000000005,1,10000,0.6521,0.7156,0.723,0.7234
0,6.700000000000005,2,10000,0.8783,0.9075,0.914,0.9144
0,6.700000000000005,3,10000,0.959,0.9753,0.9779,0.9779
0,6.700000000000005,4,10000,0.986,0.9932,0.9938,0.994
0,6.700000000000005,6,10000,0.9993,0.9999,1.0,1.0
0,6.800000000000005,1,10000,0.6622,0.7249,0.7325,0.7328
0,6.800000000000005,2,10000,0.8906,0.917,0.9221,0.9226
0,6.800000000000005,3,10000,0.9631,0.9768,0.9793,0.9794
0,6.800000000000005,4,10000,0.9856,0.9937,0.9943,0.9945
0,6.800000000000005,6,10000,0.9984,0.9997,0.9997,0.9997
0,6.900000000000006,1,10000,0.6582,0.7214,0.7261,0.7264
0,6.900000000000006,2,10000,0.8846,0.9149,0.9199,0.92
0,6.900000000000006,3,10000,0.9645,0.9773,0.9803,0.9805
0,6.900000000000006,4,10000,0.9875,0.9945,0.9951,0.9952
0,6.900000000000006,6,10000,0.9983,0.9996,0.9996,0.9996
0,7.000000000000005,1,10000,0.6713,0.7259,0.7325,0.7329
0,7.000000000000005,2,10000,0.8922,0.9187,0.9238,0.9242
0,7.000000000000005,3,10000,0.9634,0.9776,0.9804,0.9806
0,7.000000000000005,4,10000,0.9879,0.994,0.9944,0.9945
0,7.000000000000005,6,10000,0.9984,0.9997,0.9997,0.9997
