mean,sd,N,n_qc,1-3s,1-3s/2-2s/R-4s,1-3s/2-2s/R-4s/4-1s,1-3s/2-2s/R-4s/4-1s/10-x
3.3000000000000003,1,1,10000,0.6176,0.7527,0.8052,0.8223
3.3000000000000003,1,2,10000,0.8514,0.9397,0.9657,0.9721
3.3000000000000003,1,3,10000,0.9469,0.9919,0.9957,0.9964
3.3000000000000003,1,4,10000,0.9793,0.9984,0.9995,0.9997
3.3000000000000003,1,6,10000,0.9962,1.0,1.0,1.0
3.4000000000000004,1,1,10000,0.6532,0.785,0.8318,0.8457
3.4000000000000004,1,2,10000,0.8853,0.9586,0.9771,0.9812
3.4000000000000004,1,3,10000,0.959,0.9953,0.9976,0.9977
3.4000000000000004,1,4,10000,0.9862,0.9994,0.9999,0.9999
3.4000000000000004,1,6,10000,0.9983,1.0,1.0,1.0
3.5,1,1,10000,0.6907,0.8102,0.8564,0.8694
3.5,1,2,10000,0.9044,0.9652,0.9814,0.9852
3.5,1,3,10000,0.9701,0.9963,0.9981,0.9986
3.5,1,4,10000,0.9913,0.9998,1.0,1.0
3.5,1,6,10000,0.999,1.0,1.0,1.0
3.6,1,1,10000,0.724,0.833,0.8741,0.8869
3.6,1,2,10000,0.9268,0.9748,0.9868,0.9884
3.6,1,3,10000,0.9795,0.9986,0.9993,0.9995
3.6,1,4,10000,0.9941,0.9998,1.0,1.0
3.6,1,6,10000,0.9995,1.0,1.0,1.0
3.7,1,1,10000,0.7505,0.8541,0.8863,0.8994
3.7,1,2,10000,0.9375,0.9806,0.9894,0.9912
3.7,1,3,10000,0.9862,0.9987,0.9993,0.9995
3.7,1,4,10000,0.9961,0.9998,1.0,1.0
3.7,1,6,10000,0.9997,1.0,1.0,1.0
3.8000000000000003,1,1,10000,0.7872,0.8775,0.9069,0.918
3.8000000000000003,1,2,10000,0.9531,0.9868,0.9924,0.9944
3.8000000000000003,1,3,10000,0.99,0.9989,0.9997,0.9997
3.8000000000000003,1,4,10000,0.9982,1.0,1.0,1.0
3.8000000000000003,1,6,10000,1.0,1.0,1.0,1.0
3.9000000000000004,1,1,10000,0.8174,0.8958,0.9246,0.9322
3.9000000000000004,1,2,10000,0.9677,0.9904,0.9947,0.9961
3.9000000000000004,1,3,10000,0.9946,0.9996,0.9998,0.9998
3.9000000000000004,1,4,10000,0.9992,1.0,1.0,1.0
3.9000000000000004,1,6,10000,1.0,1.0,1.0,1.0
4.0,1,1,10000,0.8427,0.9134,0.9354,0.9431
4.0,1,2,10000,0.9752,0.9946,0.9973,0.9974
4.0,1,3,10000,0.9961,0.9996,0.9997,0.9998
4.0,1,4,10000,0.9996,1.0,1.0,1.0
4.0,1,6,10000,1.0,1.0,1.0,1.0
4.1000000000000005,1,1,10000,0.8687,0.9256,0.9453,0.9511
4.1000000000000005,1,2,10000,0.9809,0.9948,0.9977,0.9985
4.1000000000000005,1,3,10000,0.9972,0.9999,0.9999,0.9999
4.1000000000000005,1,4,10000,0.9995,1.0,1.0,1.0
4.1000000000000005,1,6,10000,1.0,1.0,1.0,1.0
4.2,1,1,10000,0.8878,0.939,0.9547,0.9581
4.2,1,2,10000,0.9867,0.9971,0.9987,0.999
4.2,1,3,10000,0.9988,1.0,1.0,1.0
4.2,1,4,10000,1.0,1.0,1.0,1.0
4.2,1,6,10000,1.0,1.0,1.0,1.0
4.3,1,1,10000,0.9041,0.9493,0.9609,0.966
4.3,1,2,10000,0.9896,0.9982,0.9988,0.999
4.3,1,3,10000,0.9987,1.0,1.0,1.0
4.3,1,4,10000,1.0,1.0,1.0,1.0
4.3,1,6,10000,1.0,1.0,1.0,1.0
4.4,1,1,10000,0.9198,0.9576,0.9657,0.9691
4.4,1,2,10000,0.9919,0.9988,0.9995,0.9996
4.4,1,3,10000,0.9991,0.9999,0.9999,0.9999
4.4,1,4,10000,0.9999,1.0,1.0,1.0
4.4,1,6,10000,1.0,1.0,1.0,1.0
4.5,1,1,10000,0.927,0.9624,0.9717,0.974
4.5,1,2,10000,0.9962,0.9997,0.9998,0.9998
4.5,1,3,10000,0.9999,1.0,1.0,1.0
4.5,1,4,10000,1.0,1.0,1.0,1.0
4.5,1,6,10000,1.0,1.0,1.0,1.0
4.6000000000000005,1,1,10000,0.9413,0.9691,0.9744,0.9766
4.6000000000000005,1,2,10000,0.997,0.9994,0.9998,0.9998
4.6000000000000005,1,3,10000,0.9998,1.0,1.0,1.0
4.6000000000000005,1,4,10000,1.0,1.0,1.0,1.0
4.6000000000000005,1,6,10000,1.0,1.0,1.0,1.0
4.7,1,1,10000,0.9537,0.9774,0.9835,0.9854
4.7,1,2,10000,0.998,0.9995,0.9998,0.9998
4.7,1,3,10000,0.9997,1.0,1.0,1.0
4.7,1,4,10000,0.9999,1.0,1.0,1.0
4.7,1,6,10000,1.0,1.0,1.0,1.0
4.800000000000001,1,1,10000,0.9653,0.9836,0.9871,0.9881
4.800000000000001,1,2,10000,0.9992,0.9999,1.0,1.0
4.800000000000001,1,3,10000,0.9999,1.0,1.0,1.0
4.800000000000001,1,4,10000,1.0,1.0,1.0,1.0
4.800000000000001,1,6,10000,1.0,1.0,1.0,1.0
4.9,1,1,10000,0.9715,0.9869,0.9907,0.9914
4.9,1,2,10000,0.999,0.9999,1.0,1.0
4.9,1,3,10000,1.0,1.0,1.0,1.0
4.9,1,4,10000,1.0,1.0,1.0,1.0
4.9,1,6,10000,1.0,1.0,1.0,1.0
5.0,1,1,10000,0.9805,0.9904,0.9918,0.9921
5.0,1,2,10000,0.9993,0.9999,1.0,1.0
5.0,1,3,10000,1.0,1.0,1.0,1.0
5.0,1,4,10000,1.0,1.0,1.0,1.0
5.0,1,6,10000,1.0,1.0,1.0,1.0
5.1000000000000005,1,1,10000,0.984,0.9932,0.9944,0.9947
5.1000000000000005,1,2,10000,0.9997,1.0,1.0,1.0
5.1000000000000005,1,3,10000,0.9999,1.0,1.0,1.0
5.1000000000000005,1,4,10000,1.0,1.0,1.0,1.0
5.1000000000000005,1,6,10000,1.0,1.0,1.0,1.0
5.2,1,1,10000,0.9841,0.9925,0.9937,0.9938
5.2,1,2,10000,0.9997,0.9999,0.9999,0.9999
5.2,1,3,10000,1.0,1.0,1.0,1.0
5.2,1,4,10000,1.0,1.0,1.0,1.0
5.2,1,6,10000,1.0,1.0,1.0,1.0
5.300000000000001,1,1,10000,0.9879,0.9946,0.9953,0.9955
5.300000000000001,1,2,10000,1.0,1.0,1.0,1.0
5.300000000000001,1,3,10000,1.0,1.0,1.0,1.0
5.300000000000001,1,4,10000,1.0,1.0,1.0,1.0
5.300000000000001,1,6,10000,1.0,1.0,1.0,1.0
5.4,1,1,10000,0.9918,0.9954,0.996,0.996
5.4,1,2,10000,0.9998,1.0,1.0,1.0
5.4,1,3,10000,1.0,1.0,1.0,1.0
5.4,1,4,10000,1.0,1.0,1.0,1.0
5.4,1,6,10000,1.0,1.0,1.0,1.0
5.5,1,1,10000,0.9927,0.997,0.998,0.9981
5.5,1,2,10000,1.0,1.0,1.0,1.0
5.5,1,3,10000,1.0,1.0,1.0,1.0
5.5,1,4,10000,1.0,1.0,1.0,1.0
5.5,1,6,10000,1.0,1.0,1.0,1.0
5.6000000000000005,1,1,10000,0.995,0.998,0.9982,0.9982
5.6000000000000005,1,2,10000,1.0,1.0,1.0,1.0
5.6000000000000005,1,3,10000,1.0,1.0,1.0,1.0
5.6000000000000005,1,4,10000,1.0,1.0,1.0,1.0
5.6000000000000005,1,6,10000,1.0,1.0,1.0,1.0
5.7,1,1,10000,0.9969,0.999,0.999,0.999
5.7,1,2,10000,1.0,1.0,1.0,1.0
5.7,1,3,10000,1.0,1.0,1.0,1.0
5.7,1,4,10000,1.0,1.0,1.0,1.0
5.7,1,6,10000,1.0,1.0,1.0,1.0
5.800000000000001,1,1,10000,0.9976,0.9991,0.9993,0.9993
5.800000000000001,1,2,10000,1.0,1.0,1.0,1.0
5.800000000000001,1,3,10000,1.0,1.0,1.0,1.0
5.800000000000001,1,4,10000,1.0,1.0,1.0,1.0
5.800000000000001,1,6,10000,1.0,1.0,1.0,1.0
5.9,1,1,10000,0.9978,0.999,0.999,0.999
5.9,1,2,10000,1.0,1.0,1.0,1.0
5.9,1,3,10000,1.0,1.0,1.0,1.0
5.9,1,4,10000,1.0,1.0,1.0,1.0
5.9,1,6,10000,1.0,1.0,1.0,1.0
6.0,1,1,10000,0.999,0.9997,0.9998,0.9998
6.0,1,2,10000,1.0,1.0,1.0,1.0
6.0,1,3,10000,1.0,1.0,1.0,1.0
6.0,1,4,10000,1.0,1.0,1.0,1.0
6.0,1,6,10000,1.0,1.0,1.0,1.0
